- banner:
  - button "13分钟44秒钟 also frenzy charges give four each, so now eight each. So, at the point where you get Wilma, you really want to make sure that your frenzy stays up as much as possible. If you look at the items":
    - generic: 13:44
    - generic: 13分钟44秒钟
    - text: also frenzy charges give four each, so now eight each. So, at the point where you get Wilma, you really want to make sure that your frenzy stays up as much as possible. If you look at the items
  - button "13分钟52秒钟 here, we will see that the only thing that changed is just that they got better. they have a little bit more resistances and whatnot. Don't mind the armor here. I still have to update this":
    - generic: 13:52
    - generic: 13分钟52秒钟
    - text: here, we will see that the only thing that changed is just that they got better. they have a little bit more resistances and whatnot. Don't mind the armor here. I still have to update this
  - button "13分钟59秒钟 into the steel skin version, but needless to say, armor doesn't really matter before you get to Aegis. Uh, but":
    - generic: 13:59
    - generic: 13分钟59秒钟
    - text: into the steel skin version, but needless to say, armor doesn't really matter before you get to Aegis. Uh, but
  - button "14分钟6秒钟 before that, quickly for flasks, you want a diamond flask, just more damage.":
    - generic: 14:06
    - generic: 14分钟6秒钟
    - text: before that, quickly for flasks, you want a diamond flask, just more damage.
  - button "14分钟11秒钟 Quicksilver flask with movement speed just makes you faster. Quartz flask is super important for totem builds because you never want to stand in front of a":
    - generic: 14:11
    - generic: 14分钟11秒钟
    - text: Quicksilver flask with movement speed just makes you faster. Quartz flask is super important for totem builds because you never want to stand in front of a
  - button "14分钟18秒钟 pack. Your totems are still hitting. And reduced effect of curses is really, really nice. uh even early on when you don't go armor, you still want the":
    - generic: 14:18
    - generic: 14分钟18秒钟
    - text: pack. Your totems are still hitting. And reduced effect of curses is really, really nice. uh even early on when you don't go armor, you still want the
  - button "14分钟25秒钟 granite flask for small hits. Highly recommend that. And then you want obviously a life flask with corrupted blood immunity. And then going into endgame, you will see some more drastic":
    - generic: 14:25
    - generic: 14分钟25秒钟
    - text: granite flask for small hits. Highly recommend that. And then you want obviously a life flask with corrupted blood immunity. And then going into endgame, you will see some more drastic
  - 'button "第 10 章：Progression: Aegis Swap"':
    - 'heading "第 10 章：Progression: Aegis Swap" [level=3]'
  - button "14分钟32秒钟 changes right here. So the AUS respect makes it so we use Aegus Aurora, which is one of our most important defensive":
    - generic: 14:32
    - generic: 14分钟32秒钟
    - text: changes right here. So the AUS respect makes it so we use Aegus Aurora, which is one of our most important defensive
  - button "14分钟40秒钟 tools. Uh recover energy shield equal to 2% of your armor when you block. And as you can see right here with quite a bit of armor, 61k with granite flask up, 43k":
    - generic: 14:40
    - generic: 14分钟40秒钟
    - text: tools. Uh recover energy shield equal to 2% of your armor when you block. And as you can see right here with quite a bit of armor, 61k with granite flask up, 43k
  - button "14分钟48秒钟 without. On top of that, scaling armor also enables molten shell, which I've disabled here because it's not up all the time. But if you see right here,":
    - generic: 14:48
    - generic: 14分钟48秒钟
    - text: without. On top of that, scaling armor also enables molten shell, which I've disabled here because it's not up all the time. But if you see right here,
  - button "14分钟56秒钟 it's up like more than half of the time and you're not dying while it's up. Do note though, this is a lot of avoidance, but in terms of one shots, we're still not as strong. So, for example, like I":
    - generic: 14:56
    - generic: 14分钟56秒钟
    - text: it's up like more than half of the time and you're not dying while it's up. Do note though, this is a lot of avoidance, but in terms of one shots, we're still not as strong. So, for example, like I
  - button "15分钟4秒钟 said, on bosses, it is not the best form of defense possible, but Aegis wants you to have a lot of percentage armor, and that is not really possible on our":
    - generic: 15:04
    - generic: 15分钟4秒钟
    - text: said, on bosses, it is not the best form of defense possible, but Aegis wants you to have a lot of percentage armor, and that is not really possible on our
  - button "15分钟13秒钟 pathing. So, the easy way out is light of meaning. Now, just to give you an idea, I will not be going Agis before I":
    - generic: 15:13
    - generic: 15分钟13秒钟
    - text: pathing. So, the easy way out is light of meaning. Now, just to give you an idea, I will not be going Agis before I
  - button "15分钟20秒钟 have this jewel. I just do not think it is really all that great. This jewel is completely ridiculous. You get 7% increased armor per. I'll just unequip":
    - generic: 15:20
    - generic: 15分钟20秒钟
    - text: have this jewel. I just do not think it is really all that great. This jewel is completely ridiculous. You get 7% increased armor per. I'll just unequip
  - button "15分钟28秒钟 it to show you. You go from 61k down to 38k. And then if you didn't have your granite flask up, you would actually go down to 24K. So, you can see why this":
    - generic: 15:28
    - generic: 15分钟28秒钟
    - text: it to show you. You go from 61k down to 38k. And then if you didn't have your granite flask up, you would actually go down to 24K. So, you can see why this
  - button "15分钟36秒钟 item is so important. So, these are the two items that I will need for my defensive setup. We still have a Wilma. I wanted to put a corruption here.":
    - generic: 15:36
    - generic: 15分钟36秒钟
    - text: item is so important. So, these are the two items that I will need for my defensive setup. We still have a Wilma. I wanted to put a corruption here.
  - button "15分钟43秒钟 There's also the new legion mechanic which can maybe cheat some stuff. It might get ridiculous. It might be insane for Wilmer's Recquiddle if you don't":
    - generic: 15:43
    - generic: 15分钟43秒钟
    - text: There's also the new legion mechanic which can maybe cheat some stuff. It might get ridiculous. It might be insane for Wilmer's Recquiddle if you don't
  - button "15分钟51秒钟 know. You can carry over a implicit which is like a mod from a different unique helmet onto a new unique helmet.":
    - generic: 15:51
    - generic: 15分钟51秒钟
    - text: know. You can carry over a implicit which is like a mod from a different unique helmet onto a new unique helmet.
  - button "15分钟57秒钟 We'll see how that goes. Could be absurd. More on that and like further aspirational stuff I will obviously update on league start. Other than that, our gear just got better. More stats.":
    - generic: 15:57
    - generic: 15分钟57秒钟
    - text: We'll see how that goes. Could be absurd. More on that and like further aspirational stuff I will obviously update on league start. Other than that, our gear just got better. More stats.
  - button "16分钟8秒钟 We're fixing all the attributes. were actually getting capped on chaos resistance which is pretty hard early on. You really want to utilize the":
    - generic: 16:08
    - generic: 16分钟8秒钟
    - text: We're fixing all the attributes. were actually getting capped on chaos resistance which is pretty hard early on. You really want to utilize the
  - button "16分钟15秒钟 hybrid cold and chaos fire and chaos lightning and chaos res because chaos r gear is just very expensive and also amethyst rings obviously as always very":
    - generic: 16:15
    - generic: 16分钟15秒钟
    - text: hybrid cold and chaos fire and chaos lightning and chaos res because chaos r gear is just very expensive and also amethyst rings obviously as always very
  - button "16分钟24秒钟 desired. Once you have aurora, you want to really go into hybrid armor energy shield gear on your body armor. Make":
    - generic: 16:24
    - generic: 16分钟24秒钟
    - text: desired. Once you have aurora, you want to really go into hybrid armor energy shield gear on your body armor. Make
  - button "16分钟31秒钟 sure you have no life roles so you can actually use the life mastery as always.":
    - generic: 16:31
    - generic: 16分钟31秒钟
    - text: sure you have no life roles so you can actually use the life mastery as always.
  - button "16分钟35秒钟 Also to remind you foul surrender exists. It gives you energy shield when you block and you don't need any armor.":
    - generic: 16:35
    - generic: 16分钟35秒钟
    - text: Also to remind you foul surrender exists. It gives you energy shield when you block and you don't need any armor.
  - button "16分钟41秒钟 It's weaker than Aegis, but it is a nice early alternative until you have all the other items. But last time I put it in a POB, it uh got inflated to be more than Aegis for some reason, which is insane.":
    - generic: 16:41
    - generic: 16分钟41秒钟
    - text: It's weaker than Aegis, but it is a nice early alternative until you have all the other items. But last time I put it in a POB, it uh got inflated to be more than Aegis for some reason, which is insane.
  - button "16分钟51秒钟 So, I'll just mention it here. Just know it exists and you can use it as a progression item. Another upgrade we got here was Stigian Vice, which is just a":
    - generic: 16:51
    - generic: 16分钟51秒钟
    - text: So, I'll just mention it here. Just know it exists and you can use it as a progression item. Another upgrade we got here was Stigian Vice, which is just a
  - button "16分钟59秒钟 better belt. You get an abyssal socket, which gives you more flat life, multi, all the good stuff. And then we have the large and medium cluster right here. For":
    - generic: 16:59
    - generic: 16分钟59秒钟
    - text: better belt. You get an abyssal socket, which gives you more flat life, multi, all the good stuff. And then we have the large and medium cluster right here. For
  - button "17分钟8秒钟 the large cluster, we're looking for opportunistic fuselot and marshall prowess. Although it is not that important. Anything that gives you damage here will be nice. It's just":
    - generic: 17:08
    - generic: 17分钟8秒钟
    - text: the large cluster, we're looking for opportunistic fuselot and marshall prowess. Although it is not that important. Anything that gives you damage here will be nice. It's just
  - button "17分钟15秒钟 there to carry the two jewels, which you want like stuff like attack speed, crit multi, spell damage, life is very strong. And then you want the medium":
    - generic: 17:15
    - generic: 17分钟15秒钟
    - text: there to carry the two jewels, which you want like stuff like attack speed, crit multi, spell damage, life is very strong. And then you want the medium
  - button "17分钟24秒钟 cluster, which is actually the important one because this is where you get your onslaught. This is 40% attack speed for you with Wilmas. Super super important":
    - generic: 17:24
    - generic: 17分钟24秒钟
    - text: cluster, which is actually the important one because this is where you get your onslaught. This is 40% attack speed for you with Wilmas. Super super important
  - button "17分钟32秒钟 high priority target. The second notable is less important. Now, other than the light of meaning right here, which is in this radius, we also have another radius jewel, which is the lethal pride. And":
    - generic: 17:32
    - generic: 17分钟32秒钟
    - text: high priority target. The second notable is less important. Now, other than the light of meaning right here, which is in this radius, we also have another radius jewel, which is the lethal pride. And
  - button "17分钟41秒钟 lethal pride gives random stats to notables all around. So, for example, you want to look for stuff like double damage. Incredibly, incredibly strong.":
    - generic: 17:41
    - generic: 17分钟41秒钟
    - text: lethal pride gives random stats to notables all around. So, for example, you want to look for stuff like double damage. Incredibly, incredibly strong.
  - button "17分钟49秒钟 Um, now fire res and armor and whatnot is all good. Uh, but you're looking for one in particular here, which is chance to intimidate. Now, if you already have":
    - generic: 17:49
    - generic: 17分钟49秒钟
    - text: Um, now fire res and armor and whatnot is all good. Uh, but you're looking for one in particular here, which is chance to intimidate. Now, if you already have
  - button "17分钟58秒钟 this on your gloves, obviously you don't need that. It just depends on what you get. If you don't know, you can find timeless jewels down here. Important to note with Aegus is also glancing blows.":
    - generic: 17:58
    - generic: 17分钟58秒钟
    - text: this on your gloves, obviously you don't need that. It just depends on what you get. If you don't know, you can find timeless jewels down here. Important to note with Aegus is also glancing blows.
  - button "18分钟7秒钟 This has chance to block attacks is doubled and chance to block spell damage is doubled, but it has a huge downside in that you take 65 of damage from":
    - generic: 18:07
    - generic: 18分钟7秒钟
    - text: This has chance to block attacks is doubled and chance to block spell damage is doubled, but it has a huge downside in that you take 65 of damage from
  - button "18分钟15秒钟 blocked hits. However, this doesn't really matter as much if you have Aegus because it recovers so much. So, you basically get that for free. It's just":
    - generic: 18:15
    - generic: 18分钟15秒钟
    - text: blocked hits. However, this doesn't really matter as much if you have Aegus because it recovers so much. So, you basically get that for free. It's just
  - button "18分钟23秒钟 very synergistic. You can technically cap block without glancing blows, but it will more than half your damage. So, uh,":
    - generic: 18:23
    - generic: 18分钟23秒钟
    - text: very synergistic. You can technically cap block without glancing blows, but it will more than half your damage. So, uh,
  - button "18分钟30秒钟 you never want to use glancing blows, to be clear, before you have either Aegus Aurora or Foulorn surrender. It is actually a big big downside. Another":
    - generic: 18:30
    - generic: 18分钟30秒钟
    - text: you never want to use glancing blows, to be clear, before you have either Aegus Aurora or Foulorn surrender. It is actually a big big downside. Another
  - button "18分钟39秒钟 really nice change in endgame here is that you want to replace your elemental weakness with a sniper mark. Uh, the reason being that on your main links,":
    - generic: 18:39
    - generic: 18分钟39秒钟
    - text: really nice change in endgame here is that you want to replace your elemental weakness with a sniper mark. Uh, the reason being that on your main links,
  - button "18分钟47秒钟 you want invert the rules. This one can get a little bit expensive, so yeah, if that doesn't happen, then don't do it until then. But, uh, this gem gives you":
    - generic: 18:47
    - generic: 18分钟47秒钟
    - text: you want invert the rules. This one can get a little bit expensive, so yeah, if that doesn't happen, then don't do it until then. But, uh, this gem gives you
  - button "18分钟56秒钟 treat enemies monster resistances as inverted. So, for example, if they have 50 resistance, they actually go to minus 50 resistance. Uh, this one was released":
    - generic: 18:56
    - generic: 18分钟56秒钟
    - text: treat enemies monster resistances as inverted. So, for example, if they have 50 resistance, they actually go to minus 50 resistance. Uh, this one was released
  - button "19分钟4秒钟 last patch and it actually turns out it's very, very strong. And the reason you want snipers mark then is because if you had elemental weakness and you reduced enemy resistances, that's":
    - generic: 19:04
    - generic: 19分钟4秒钟
    - text: last patch and it actually turns out it's very, very strong. And the reason you want snipers mark then is because if you had elemental weakness and you reduced enemy resistances, that's
  - button "19分钟12秒钟 actually downside. So, just make sure that you only replace this with snipers mark once you get this gem before you're actually scuffing your build. Another huge item to get is reign of splinters.":
    - generic: 19:12
    - generic: 19分钟12秒钟
    - text: actually downside. So, just make sure that you only replace this with snipers mark once you get this gem before you're actually scuffing your build. Another huge item to get is reign of splinters.
  - button "19分钟23秒钟 Do note that the strong boxes that drop corrupted jewels will not be in the game anymore. So there's no more 10 chaos rain splinters. These are going to be":
    - generic: 19:23
    - generic: 19分钟23秒钟
    - text: Do note that the strong boxes that drop corrupted jewels will not be in the game anymore. So there's no more 10 chaos rain splinters. These are going to be
  - button "19分钟31秒钟 multiple divines and should be prioritized, but it's going to be expensive, right? So just know that plus two additional projectiles is ridiculous":
    - generic: 19:31
    - generic: 19分钟31秒钟
    - text: multiple divines and should be prioritized, but it's going to be expensive, right? So just know that plus two additional projectiles is ridiculous
  - button "19分钟38秒钟 on this build, of course. Um it gives you better clear speed, better single target damage. Completely insane. You can make these by corrupting crimson jewels, but it's extremely rare. Now,":
    - generic: 19:38
    - generic: 19分钟38秒钟
    - text: on this build, of course. Um it gives you better clear speed, better single target damage. Completely insane. You can make these by corrupting crimson jewels, but it's extremely rare. Now,
  - button "第 11 章：Mistakes to Avoid":
    - heading "第 11 章：Mistakes to Avoid" [level=3]
  - button "19分钟47秒钟 rounding all of this up, a quicky mistakes to avoid list here, which is a greatest hits from last league. Uh not getting a ton of added damage on jewelry. Once again, this is especially":
    - generic: 19:47
    - generic: 19分钟47秒钟
    - text: rounding all of this up, a quicky mistakes to avoid list here, which is a greatest hits from last league. Uh not getting a ton of added damage on jewelry. Once again, this is especially
  - button "19分钟56秒钟 important early on while you're progressing. Otherwise, you're going to do literally no damage. This is like all of your damage. Uh then not leveling and getting quality on less duration.":
    - generic: 19:56
    - generic: 19分钟56秒钟
    - text: important early on while you're progressing. Otherwise, you're going to do literally no damage. This is like all of your damage. Uh then not leveling and getting quality on less duration.
  - button "20分钟6秒钟 Unfortunately, that is now like the cornerstone of the build is just less duration. You need as much quality as possible. You'll get it up to 30% quality if you have it in a red socket.":
    - generic: 20:06
    - generic: 20分钟6秒钟
    - text: Unfortunately, that is now like the cornerstone of the build is just less duration. You need as much quality as possible. You'll get it up to 30% quality if you have it in a red socket.
  - button "20分钟16秒钟 So, make sure you do that. Uh this should also be the first thing that you quality in general. Uh then using glancing blows before you have Aegus.":
    - generic: 20:16
    - generic: 20分钟16秒钟
    - text: So, make sure you do that. Uh this should also be the first thing that you quality in general. Uh then using glancing blows before you have Aegus.
  - button "20分钟24秒钟 I've seen this a lot. Glancing blows is completely and utterly worthless until you have Aegus Aurora or possibly":
    - generic: 20:24
    - generic: 20分钟24秒钟
    - text: I've seen this a lot. Glancing blows is completely and utterly worthless until you have Aegus Aurora or possibly
  - button "20分钟31秒钟 Foulborn Surrender. Up to you. It's not just bad. It is actually like it makes your build worse. You should never take":
    - generic: 20:31
    - generic: 20分钟31秒钟
    - text: Foulborn Surrender. Up to you. It's not just bad. It is actually like it makes your build worse. You should never take
  - button "20分钟38秒钟 Glancing Blows before you have that item. Uh then other than that, using Aegis Aurora before you have good armor.":
    - generic: 20:38
    - generic: 20分钟38秒钟
    - text: Glancing Blows before you have that item. Uh then other than that, using Aegis Aurora before you have good armor.
  - button "20分钟44秒钟 This is another one where people just throw a Aurora into their build and they have like 10k armor. Guess what? That's not a lot of recovery. That's like 200":
    - generic: 20:44
    - generic: 20分钟44秒钟
    - text: This is another one where people just throw a Aurora into their build and they have like 10k armor. Guess what? That's not a lot of recovery. That's like 200
  - button "20分钟52秒钟 recovered energy shield. You're barely going to feel it and then your glancing blows is just going to scuff you. So, what you want is good energy shield, armor, gear. And I mean prefixes, right?":
    - generic: 20:52
    - generic: 20分钟52秒钟
    - text: recovered energy shield. You're barely going to feel it and then your glancing blows is just going to scuff you. So, what you want is good energy shield, armor, gear. And I mean prefixes, right?
  - button "21分钟3秒钟 Plus to energy shield, plus to armor and percentage armor. Have it qualied up, all the good stuff on every single gear piece. If you're still running dores at":
    - generic: 21:03
    - generic: 21分钟3秒钟
    - text: Plus to energy shield, plus to armor and percentage armor. Have it qualied up, all the good stuff on every single gear piece. If you're still running dores at
  - button "21分钟11秒钟 this point, you should already have thrown it out. That is the point. The only thing you cannot change, unfortunately, is Wilma's reququidd. So,":
    - generic: 21:11
    - generic: 21分钟11秒钟
    - text: this point, you should already have thrown it out. That is the point. The only thing you cannot change, unfortunately, is Wilma's reququidd. So,
  - button "21分钟18秒钟 there you go. And the most important piece of the puzzle here is the light of meaning. If you don't have this one, I":
    - generic: 21:18
    - generic: 21分钟18秒钟
    - text: there you go. And the most important piece of the puzzle here is the light of meaning. If you don't have this one, I
  - button "21分钟25秒钟 wouldn't swap to Agies at all. And then also a good granite flask with a percentage armor roll. Now then, not getting freeze immunity from your":
    - generic: 21:25
    - generic: 21分钟25秒钟
    - text: wouldn't swap to Agies at all. And then also a good granite flask with a percentage armor roll. Now then, not getting freeze immunity from your
  - button "21分钟33秒钟 Pantheon. If you don't know, you can get 100% chance to avoid being frozen right here. If you kill Merville, they returned with a divine vessel in the map":
    - generic: 21:33
    - generic: 21分钟33秒钟
    - text: Pantheon. If you don't know, you can get 100% chance to avoid being frozen right here. If you kill Merville, they returned with a divine vessel in the map
  - button "21分钟42秒钟 device. And you can just search for it right here once you have it revealed.":
    - generic: 21:42
    - generic: 21分钟42秒钟
    - text: device. And you can just search for it right here once you have it revealed.
  - button "21分钟45秒钟 And until then, I have Purity of Elements in the guide. So that's quite important. And last but not least, obviously keeping elemental weakness when swapping to invert the rules. You":
    - generic: 21:45
    - generic: 21分钟45秒钟
    - text: And until then, I have Purity of Elements in the guide. So that's quite important. And last but not least, obviously keeping elemental weakness when swapping to invert the rules. You
  - button "21分钟54秒钟 want to swap your curses from elemental weakness to sniper mark because reducing elemental resistances when you're":
    - generic: 21:54
    - generic: 21分钟54秒钟
    - text: want to swap your curses from elemental weakness to sniper mark because reducing elemental resistances when you're
  - button "22分钟1秒钟 inverting the resistances is actually a downside. And also make sure that you have no kind of exposure or anything":
    - generic: 22:01
    - generic: 22分钟1秒钟
    - text: inverting the resistances is actually a downside. And also make sure that you have no kind of exposure or anything
  - button "22分钟8秒钟 like that because that also reduces enemy resistances by minus 10%. But yeah, that's about all I got. If you have played the build before, I would highly recommend at least looking at":
    - generic: 22:08
    - generic: 22分钟8秒钟
    - text: like that because that also reduces enemy resistances by minus 10%. But yeah, that's about all I got. If you have played the build before, I would highly recommend at least looking at
  - button "22分钟16秒钟 what the changes are and maybe checking out the video that I link down below because the build in terms of how you build it has changed quite":
    - generic: 22:16
    - generic: 22分钟16秒钟
    - text: what the changes are and maybe checking out the video that I link down below because the build in terms of how you build it has changed quite
  - button "22分钟24秒钟 significantly, but it's still kinetic fusel ballista. Uh you're still going to have a good time. It just got a little bit less powerful. I will be leak starting this. I will obviously be":
    - generic: 22:24
    - generic: 22分钟24秒钟
    - text: significantly, but it's still kinetic fusel ballista. Uh you're still going to have a good time. It just got a little bit less powerful. I will be leak starting this. I will obviously be
  - button "22分钟32秒钟 updating in the first 5 days or so. And uh everything that is new, aspirational that we don't know about yet, I will be":
    - generic: 22:32
    - generic: 22分钟32秒钟
    - text: updating in the first 5 days or so. And uh everything that is new, aspirational that we don't know about yet, I will be
  - button "22分钟39秒钟 updating as well. So yeah, you can play along as always or join me over on twitch.tv/postron. I'll be streaming over there every day. Other than that, I":
    - generic: 22:39
    - generic: 22分钟39秒钟
    - text: updating as well. So yeah, you can play along as always or join me over on twitch.tv/postron. I'll be streaming over there every day. Other than that, I
  - button "22分钟47秒钟 will still release a leveling video. I'm still trying out early setups, but it might be rolling magma. Don't kill me.":
    - generic: 22:47
    - generic: 22分钟47秒钟
    - text: will still release a leveling video. I'm still trying out early setups, but it might be rolling magma. Don't kill me.
  - button "22分钟53秒钟 We'll have to see. I'll make an update video about that. Otherwise, yeah, wish everybody great league start. And uh since I still have a slogan, see you next time.":
    - generic: 22:53
    - generic: 22分钟53秒钟
    - text: We'll have to see. I'll make an update video about that. Otherwise, yeah, wish everybody great league start. And uh since I still have a slogan, see you next time.
  - tablist:
    - tab "全部" [selected]:
      - generic: 全部
    - tab "来自Palsteron":
      - generic: 来自Palsteron
    - tab "流放之路":
      - generic: 流放之路
    - tab "相关内容":
      - generic: 相关内容
    - tab "为你推荐":
      - generic: 为你推荐
    - tab "最近上传":
      - generic: 最近上传
  - button "下一页":
  - link "字节跳动Seedance 2.0上线":
    - /url: https://www.googleadservices.com/pagead/aclk?sa=L&ai=CFjeuGRViat3cD5mG3LUP_tPzwAX9gePLiAG8uPDKhBaeytHrrkgQASAAYL8FggEXY2EtcHViLTYyMTk4MTE3NDcwNDkzNzGgAcTZhL89qAMEyAMKqgTdA0_QxTFGVDhPDzDlGFsRzD4XzD0Fi7sdhBlkbOx99_LmVmMvmi_EnrsDN33C0DSGeWMFxGkWt7U1S4o9mphbZoH--fKBC3a23acR88bQJc8oz_SzUO10AregxttCE2lG1C0pYyr4y-o1KbTYbiSKQ_LliaWIIUz6Dpk6fNL6cuD9muVTvaNrQKEpnkSs94P5qRXOGscAsFSS8yT4MW2MHwA-GJQsw9UCzKdNHb93kCJ5vsOKLNhZaY6oLusy32jdbeEXXli9uVpOCdykiy0lwnT7tnQ1TpiPzE6CHW5K_JUQV1xPqAZw6FzLYqwD61WZxpY-zjE_0NLNr79vmlkjqehgELbDhjJ9abp4MSKNyiZuTG_WcBtMioWyz5_45PKSZENf47ZziBO7KaKR_bmxi6DvI_FxHkajMxrBZm4minJw-hAvSHN3y2tK0eqZtXhq_xZpbHDfsgDflLPI27LQ5RoV99JqAAM2UKV4Z6-83hDLU1fU91F4m_km7MTx8fr7hvhj7Rh6Z1FPMSeBNDB_vJCpQWYziqktk5UkEMo1N1VjDlVdXLSz-YVYs7zJUjJ81xYgIRyYoBqJU5ziOVwnvCyE86B6I4AUKiSzZA2sRFgJtmBJYfrkgnxtYeQY_ogFiPWK51iSBQoIE2gCeIaSjKUdoAakAYAHn9-6hR2IBwGQBwKoB_LAsQKoB7jEsQKoB-G2sQKoB6XPsQKoB-edsQKoB-idsQKoB--1sQKoB_C1sQKoB_nTsQKoB8nasQKoB6ngsQKoB4QIqAem1LECqAeo0huoB7YHqAex3BuoB4HDsQKoB_i_sQKoB7CbsQKoB66xsQKoB_2ysQKoB8jPsQKoB8nPsQKoB83HsQKoB_HRsQKoB_zVsQKoB_vVsQKoB4zWsQKoB4vWsQKoB5risQKoB5visQKoB53XsQKoB_SZsQKoB_i_sQKoB53UsQKoB4HGG6gH_K-xAqgHvtmxAqgHq8UbqAe3obECqAfVqbECqAfetbECqAfqsbECqAe-t7ECqAeZtbECqAeFwbECqAfrpbECqAfKqbECsAgM0gg2CICAgIAEEAIYWjICgAQ6FI_QgICAgASAwICAgMCAgAKqgIAQSNmg0jVQFFjwsMLz8eiVA2AB8ggfY2EteXQtaG9zdC1wdWItMzU5NzcyNzk4MzM4MDcyNZoJMGh0dHBzOi8vd3d3LmJ5dGVwbHVzLmNvbS9lbi9hY3Rpdml0eS9zZWVkYW5jZTItMLEJmVhXTJ5QeMHICQCYCwGhC8byUl5mcL8mugtYCAEQBRgWIAgoATAaQAFIAFgBYABoAHABiAEAmAEBogEmChsgA9q4BBUyEzoRCg8oMEiOlur8swmYGQG4IAHQAQGoAgXAAgKoAQHYAQGAAgGIAga6AwJzadALEqIMMiABKgoKCI7fsQKV4rECSAFqGwoZY29tLmJ5dGVwbHVzLmJ5dGVwbHVzbGl2ZXgBiAEB0gwECAEQAdoMJgoLEPCSif6C26n8rgESAgEDGg0YiPWK51ggpYq6ouAFQAFKAhAfmg0BEqoNAlNHyA0B0g3PAmh0dHBzOi8vd3d3LmJ5dGVwbHVzLmNvbS9lbi9hY3Rpdml0eS9zZWVkYW5jZTItMD91dG1fc291cmNlPWdvb2dsZSZ1dG1fbWVkaXVtPXBtYXgmdXRtX2NhbXBhaWduPXB1cmNoYXNlX3NlZWRhbmNlX2VhX2NoaW5lc2VfMjAyNjA2MjJfbHJoJnV0bV90ZXJtPTIwMjYwNjIyX2FiaWxpdHlfc2VlZGFuY2UyLjAmdXRtX2NvbnRlbnQ9dGVjZG8mZ2FkX3NvdXJjZT0yJmdhZF9jYW1wYWlnbmlkPTIzODM4NTA1NjA4JndicmFpZD1Da1FLQ0FqdzFJSFRCaEIxRWpRQVE4Q2lhVDJxTEE4TkprNE9nMDlxN0FGV3hrRDV3TU5QZkxyRnF1azI5OFZmRExLXy04ZXVqTE56Y0NTQkoyRTI5bmJER2dMTWxRsA7NoaCGGbgT____________AbAUAcAVgYCAQNAVAdgVAZgWAeIWAggBgBcBihcYCAMYASABKAEwATgBQAFIAVABWAFgAmgBoBcBqRdjh25UVA9wiroXChABKAAwATgBSAHQGAHwGAGAGQPCGQIIAQ&ase=2&gclid=Cj0KCQjw94bTBhDQARIsAN3vv0xQCrovUticYPCYM8NRTs14gGktRPbvZWV_doHyQOWklJdknwJTR8QaAu8bEALw_wcB&num=1&cid=CAESpQHg9j6Cb2mVGV1pKMKHNeSPKtZGhXMGHouql3CyTnmEdSF7-qAlVne9QI2toTc1qJB_UfetW5Xp1LiMhAfaoF1NOincQdguCtSrYA5-i8QMsM9g3VEY2iMjKnIYoj_CqbrYF_mlNGPtv5Gy5lgp6bR8iRNwwoU7ljkH6GA_Ngy78APOHBu2JL2Panb3kXmJsmOG_YDgnJ3brOliOgnURZraU0MWIk0&sig=AOD64_3Ov2QEYcWV-0rhjxtJ1yHiCiVC5Q&ms=%5BCLICK_MS%5D&nb=0&nx=%5BNX%5D&ny=%5BNY%5D&dim=%5BDIM%5D
  - link "智能色彩优化提亮整体色调，呈现鲜活通透的光影画面。":
